Treatment,Replicate,TotalDensity,Plant,NumberWheat,ProportionWheat,BiomassPerPlant
2W,1,2,W,2,1,13.2
2W,2,2,W,2,1,16.1
2W,3,2,W,2,1,10.8
2W,4,2,W,2,1,12.4
4W,1,4,W,4,1,10.5
4W,2,4,W,4,1,11.3
4W,3,4,W,4,1,7.7
4W,4,4,W,4,1,10.2
6W,1,6,W,6,1,8.4
6W,2,6,W,6,1,6.6
6W,3,6,W,6,1,9.3
6W,4,6,W,6,1,10
2W2R,1,4,W,2,0.5,13.4
2W2R,1,4,R,2,0.5,6.2
2W2R,2,4,W,2,0.5,12.3
2W2R,2,4,R,2,0.5,5.4
2W2R,3,4,W,2,0.5,11.7
2W2R,3,4,R,2,0.5,7
2W2R,4,4,W,2,0.5,12.6
2W2R,4,4,R,2,0.5,6.9
3W3R,1,6,W,3,0.5,10.9
3W3R,1,6,R,3,0.5,3.3
3W3R,2,6,W,3,0.5,11.5
3W3R,2,6,R,3,0.5,4.1
3W3R,3,6,W,3,0.5,10.6
3W3R,3,6,R,3,0.5,5.6
3W3R,4,6,W,3,0.5,12
3W3R,4,6,R,3,0.5,4.8
4W2R,1,6,W,4,0.666666666666667,9.8
4W2R,1,6,R,4,0.666666666666667,6.5
4W2R,2,6,W,4,0.666666666666667,10.1
4W2R,2,6,R,4,0.666666666666667,6
4W2R,3,6,W,4,0.666666666666667,9.2
4W2R,3,6,R,4,0.666666666666667,5.5
4W2R,4,6,W,4,0.666666666666667,8.6
4W2R,4,6,R,4,0.666666666666667,6.7
2W4R,1,6,W,2,0.333333333333333,9.5
2W4R,1,6,R,2,0.333333333333333,4
2W4R,2,6,W,2,0.333333333333333,13.1
2W4R,2,6,R,2,0.333333333333333,2.8
2W4R,3,6,W,2,0.333333333333333,12.5
2W4R,3,6,R,2,0.333333333333333,3.2
2W4R,4,6,W,2,0.333333333333333,11.6
2W4R,4,6,R,2,0.333333333333333,3.6
